sketch,magnitude,seed,tp,fp,fn,f1
CMS,1.1,42,7,3,2,0.736842
CU-CMS,1.1,42,7,3,2,0.736842
CS,1.1,42,7,3,2,0.736842
CMS,1.1,43,7,1,2,0.823529
CU-CMS,1.1,43,7,1,2,0.823529
CS,1.1,43,7,1,2,0.823529
CMS,1.1,44,7,1,2,0.823529
CU-CMS,1.1,44,7,1,2,0.823529
CS,1.1,44,7,1,2,0.823529
CMS,1.2,42,9,3,0,0.857143
CU-CMS,1.2,42,9,3,0,0.857143
CS,1.2,42,9,3,0,0.857143
CMS,1.2,43,9,1,0,0.947368
CU-CMS,1.2,43,9,1,0,0.947368
CS,1.2,43,9,1,0,0.947368
CMS,1.2,44,9,1,0,0.947368
CU-CMS,1.2,44,9,1,0,0.947368
CS,1.2,44,9,1,0,0.947368
CMS,1.3,42,9,3,0,0.857143
CU-CMS,1.3,42,9,3,0,0.857143
CS,1.3,42,9,3,0,0.857143
CMS,1.3,43,9,1,0,0.947368
CU-CMS,1.3,43,9,1,0,0.947368
CS,1.3,43,9,1,0,0.947368
CMS,1.3,44,9,1,0,0.947368
CU-CMS,1.3,44,9,1,0,0.947368
CS,1.3,44,9,1,0,0.947368
CMS,1.4,42,9,3,0,0.857143
CU-CMS,1.4,42,9,3,0,0.857143
CS,1.4,42,9,3,0,0.857143
CMS,1.4,43,9,1,0,0.947368
CU-CMS,1.4,43,9,1,0,0.947368
CS,1.4,43,9,1,0,0.947368
CMS,1.4,44,9,1,0,0.947368
CU-CMS,1.4,44,9,1,0,0.947368
CS,1.4,44,9,1,0,0.947368
CMS,1.5,42,9,3,0,0.857143
CU-CMS,1.5,42,9,3,0,0.857143
CS,1.5,42,9,3,0,0.857143
CMS,1.5,43,9,1,0,0.947368
CU-CMS,1.5,43,9,1,0,0.947368
CS,1.5,43,9,1,0,0.947368
CMS,1.5,44,9,1,0,0.947368
CU-CMS,1.5,44,9,1,0,0.947368
CS,1.5,44,9,1,0,0.947368
CMS,2,42,9,3,0,0.857143
CU-CMS,2,42,9,3,0,0.857143
CS,2,42,9,3,0,0.857143
CMS,2,43,9,1,0,0.947368
CU-CMS,2,43,9,1,0,0.947368
CS,2,43,9,1,0,0.947368
CMS,2,44,9,1,0,0.947368
CU-CMS,2,44,9,1,0,0.947368
CS,2,44,9,1,0,0.947368
CMS,5,42,9,3,0,0.857143
CU-CMS,5,42,9,3,0,0.857143
CS,5,42,9,3,0,0.857143
CMS,5,43,9,1,0,0.947368
CU-CMS,5,43,9,1,0,0.947368
CS,5,43,9,1,0,0.947368
CMS,5,44,9,1,0,0.947368
CU-CMS,5,44,9,1,0,0.947368
CS,5,44,9,1,0,0.947368
